,Index,Computing machine,NumberOfFeatures,NumberOfInstances,aml60train,aml60test,aml600train,aml600test,aml1200train,aml1200test,h2o60train,h2o60test,h2o600train,h2o600test,h2o1200train,h2o1200test,tpot60train,tpot60test,tpot600train,tpot600test,tpot1200train,tpot1200test,ag60train,ag60test,ag600train,ag600test,ag1200train,ag1200test,aml60algo,aml600algo,aml1200algo,h2o60algo,h2o600algo,h2o1200algo,tpot60algo,tpot600algo,tpot1200algo,ag60algo,ag600algo,ag1200algo
47,42638,Desktop,8,891,0.8712,0.835,0.8712,0.835,0.8712,0.835,0.9348,0.8371,0.9281,0.7956,0.9325,0.8481,0.981,0.8425,0.9441,0.8241,0.9764,0.8489,0.9233,0.8436,0.9233,0.8436,0.9233,0.8436,random_forest,random_forest,random_forest,GBM,DeepLearning,DeepLearning,ExtraTreesClassifier,RandomForestClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
48,40669,Desktop,7,160,1.0,1.0,1.0,1.0,1.0,1.0,0.9983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gradient_boosting,gradient_boosting,gradient_boosting,XGBoost,XGBoost,XGBoost,KNeighborsClassifier,KNeighborsClassifier,KNeighborsClassifier,CatBoost,CatBoost,CatBoost
49,40681,Desktop,7,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987,0.9883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gradient_boosting,gradient_boosting,gradient_boosting,GBM,DeepLearning,XGBoost,KNeighborsClassifier,KNeighborsClassifier,KNeighborsClassifier,CatBoost,CatBoost,CatBoost
50,40690,Desktop,10,512,0.9999,1.0,0.9999,1.0,0.9999,1.0,0.9998,0.9953,1.0,0.9985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,1.0,0.9993,1.0,0.9993,gradient_boosting,gradient_boosting,gradient_boosting,GBM,GBM,XGBoost,MLPClassifier,GradientBoostingClassifier,MLPClassifier,CatBoost,CatBoost,CatBoost
51,724,Desktop,4,468,0.9229,0.9325,0.9229,0.9325,0.9229,0.9325,0.9987,0.8791,0.9911,0.9142,0.9998,0.8889,0.9915,0.9363,0.9992,0.9378,0.9987,0.9446,0.9694,0.9502,0.9694,0.9502,0.9694,0.9502,bagging,bagging,bagging,GBM,DeepLearning,GBM,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
52,731,Desktop,5,96,0.8201,0.6806,0.8201,0.6806,0.8201,0.6806,0.8409,0.7083,0.8185,0.7014,0.7467,0.6389,0.8958,0.7222,0.8811,0.6389,0.8907,0.7014,0.9643,0.6806,0.9643,0.6806,0.9643,0.6806,logistic_regression,logistic_regression,logistic_regression,DeepLearning,DeepLearning,DeepLearning,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,NeuralNetTorch,NeuralNetTorch,NeuralNetTorch
53,729,Desktop,4,44,0.9308,1.0,0.9308,1.0,0.9308,1.0,1.0,0.9286,0.9962,1.0,0.9923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mlp,mlp,mlp,GBM,DeepLearning,DeepLearning,ExtraTreesClassifier,ExtraTreesClassifier,ExtraTreesClassifier,CatBoost,CatBoost,CatBoost
54,730,Desktop,6,250,0.9847,0.9934,0.9847,0.9934,0.9847,0.9934,1.0,0.9848,1.0,0.9818,0.9994,0.9212,0.999,0.999,1.0,0.9889,1.0,0.9899,1.0,0.9778,1.0,0.9778,1.0,0.9778,extra_trees,extra_trees,extra_trees,GBM,GBM,DeepLearning,ExtraTreesClassifier,GradientBoostingClassifier,GradientBoostingClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
55,726,Desktop,6,100,0.8587,0.8929,0.8587,0.8929,0.8587,0.8929,0.8238,0.7403,0.9993,0.8701,0.9948,0.8052,1.0,0.9805,0.9993,0.9221,0.9993,0.9221,0.9444,0.8279,0.9444,0.8279,0.9444,0.8279,extra_trees,extra_trees,extra_trees,DeepLearning,XGBoost,XGBoost,XGBClassifier,MLPClassifier,MLPClassifier,RandomForestEntr,RandomForestEntr,RandomForestEntr
56,767,Desktop,4,475,0.9533,0.9372,0.9533,0.9372,0.9533,0.9372,0.997,0.9478,0.9969,0.9049,0.97,0.8618,0.9719,0.9205,0.9689,0.9104,0.9689,0.9104,0.9984,0.9369,0.9984,0.9369,0.9984,0.9369,gradient_boosting,gradient_boosting,gradient_boosting,GBM,GBM,DeepLearning,DecisionTreeClassifier,DecisionTreeClassifier,DecisionTreeClassifier,CatBoost,CatBoost,CatBoost
57,764,Desktop,4,450,0.9157,0.9609,0.9157,0.9609,0.9157,0.9609,0.9889,0.9126,0.9915,0.9099,0.9922,0.9112,0.981,0.9316,0.9819,0.9316,0.9819,0.9316,0.9604,0.9276,0.9604,0.9276,0.9604,0.9276,gradient_boosting,gradient_boosting,gradient_boosting,GBM,GBM,GBM,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
